name,1-1-mtk,1-2-mtk,2-1-mtk,2-2-mtk,1-1-ing,1-2-ing,2-1-ing,2-2-ing,1-1-bhs,1-2-bhs,2-1-bhs,2-2-bhs,1-1-kkm_bhs,1-2-kkm_bhs,2-1-kkm_bhs,2-2-kkm_bhs,1-1-kkm_ing,1-2-kkm_ing,2-1-kkm_ing,2-2-kkm_ing,1-1-kkm_mtk,1-2-kkm_mtk,2-1-kkm_mtk,2-2-kkm_mtk,IPK
student1,93.00,84.00,93.00,91.00,85.00,94.00,85.00,94.00,91.00,91.00,83.00,89.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,4.000000
student2,80.00,82.00,82.00,84.00,80.00,84.00,85.00,83.00,83.00,82.00,83.00,85.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,0.000000
student3,71.00,80.00,96.00,85.00,82.00,84.00,86.00,80.00,84.00,86.00,90.00,83.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.295000
student4,81.00,82.00,87.00,82.00,81.00,86.00,82.00,84.00,87.00,84.00,89.00,89.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,3.685000
student5,83.00,81.00,88.00,84.00,80.00,88.00,83.00,85.00,86.00,85.00,89.00,89.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,3.752500
student6,88.00,78.00,77.00,80.00,80.00,80.00,77.00,79.00,78.00,78.00,77.00,79.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,3.740909
student7,89.00,89.00,88.00,89.00,85.00,90.00,80.00,82.00,79.00,85.00,85.00,84.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.052380
student8,78.00,75.00,78.00,82.00,77.00,87.00,88.00,80.00,84.00,85.00,85.00,85.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,1.585000
student9,93.00,86.00,93.00,76.00,77.00,81.00,74.00,84.00,89.00,89.00,93.00,93.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,3.547619
student10,73.00,75.00,68.00,78.00,83.00,82.00,73.00,73.00,75.00,78.00,65.00,74.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,3.007692
student11,81.00,84.00,86.00,87.00,85.00,90.00,91.00,84.00,90.00,92.00,91.00,80.00,70.00,70.00,75.00,75.00,70.00,70.00,75.00,75.00,70.00,70.00,75.00,75.00,3.467500
student12,78.00,78.00,79.00,80.00,88.00,84.00,84.00,86.00,80.00,84.00,86.00,87.00,67.00,67.00,68.00,68.00,67.00,67.00,68.00,68.00,67.00,67.00,68.00,68.00,3.895348
student13,85.00,87.00,81.00,85.00,83.00,83.00,92.00,92.00,85.00,85.00,88.00,88.00,73.00,73.00,75.00,75.00,73.00,73.00,75.00,75.00,73.00,73.00,75.00,75.00,3.255555
student14,72.00,74.00,74.00,76.00,76.00,79.00,81.00,82.00,80.00,81.00,83.00,87.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.532558
student15,73.00,70.17,73.17,70.67,75.67,77.50,70.42,70.00,82.89,81.22,75.00,75.08,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,1.052500
student16,73.00,78.00,77.00,75.00,78.00,79.00,80.00,80.00,84.00,86.00,84.00,84.00,68.00,68.00,70.00,70.00,68.00,68.00,70.00,70.00,68.00,68.00,70.00,70.00,3.413953
student17,84.00,84.00,85.00,86.00,85.00,85.00,89.00,90.00,83.00,87.00,85.00,86.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,2.986842
student18,78.00,78.00,80.00,79.00,76.00,82.00,86.00,86.00,87.00,88.00,87.00,89.00,76.00,76.00,78.00,78.00,76.00,76.00,78.00,78.00,76.00,76.00,78.00,78.00,3.748837
student19,73.00,76.00,73.00,73.00,84.00,84.00,73.00,76.00,75.00,82.00,79.00,80.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,3.070000
student20,71.00,71.00,76.00,82.00,73.00,75.00,82.00,90.00,72.00,72.00,80.00,90.00,70.00,70.00,76.00,76.00,70.00,70.00,76.00,76.00,70.00,70.00,76.00,76.00,3.190697
student21,73.00,77.00,80.00,81.00,74.00,76.00,78.00,80.00,74.00,75.00,77.00,75.00,70.00,70.00,73.00,73.00,70.00,70.00,73.00,73.00,70.00,70.00,73.00,73.00,3.244186
student22,83.00,87.00,88.00,85.00,75.00,80.00,82.00,85.00,81.00,85.00,89.00,83.00,75.00,75.00,76.00,76.00,75.00,75.00,76.00,76.00,75.00,75.00,76.00,76.00,3.895000
student23,86.00,86.00,76.00,76.00,90.00,88.00,89.00,81.00,85.00,85.00,89.00,84.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,3.700000
student24,83.00,95.00,93.00,95.00,91.00,92.00,88.00,83.00,95.00,92.00,93.00,95.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,3.597368
student25,79.00,85.00,95.00,95.00,78.00,84.00,77.00,77.00,84.00,86.00,87.00,89.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.747368
student26,83.00,85.00,85.00,85.00,86.00,84.00,84.00,85.00,82.00,82.00,80.00,82.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,3.706976
student27,82.00,83.00,87.00,80.00,80.00,83.00,86.00,88.00,81.00,83.00,84.00,90.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,68.00,3.147500
student28,85.00,84.00,84.00,85.00,94.00,89.00,85.00,86.00,83.00,85.00,86.00,86.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,3.582500
